Titr,URL,title,Date,text_file
Air Canada and Biojet Supply C,https://www.newswire.ca/news-releases/air-canada-and-biojet-supply-chain-initiative-choose-montreal-trudeau-airport-for-aviation-biofuel-project-578797441.html,,,
Air Canada and Avianca Brasil ,https://www.newswire.ca/news-releases/air-canada-and-avianca-brasil-announce-codeshare-agreement-578106941.html,,,
Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2016-results-577549221.html,,,
Air Canada to Launch Non-stop ,https://www.newswire.ca/news-releases/air-canada-to-launch-non-stop-flights-from-vancouver-to-delhi-577240291.html,,,
Air Canada Marks Earth Day wit,https://www.newswire.ca/news-releases/air-canada-marks-earth-day-with-employee-community-events-576761271.html,,,
Air Canada Confirms Incident I,https://www.newswire.ca/news-releases/air-canada-confirms-incident-involving-air-canada-express-flight-ac7804-576542171.html,,,
Air Canada rouge Gears up for ,https://www.newswire.ca/news-releases/air-canada-rouge-gears-up-for-winter-2016-2017-with-new-non-stop-flights-montreal-to-puerto-vallarta-mexico-and-san-jose-costa-rica-toronto-to-palm-springs-ca-and-port-of-spain-trinidad-and-tobago-576358291.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-first-quarter-2016-results-575543411.html,,,
Air Canada Cargo to Introduce ,https://www.newswire.ca/news-releases/air-canada-cargo-to-introduce-dedicated-freighter-service-to-latin-america-and-europe-in-a-commercial-arrangement-with-cargojet-575523081.html,,,
Air Canada Announces Nominatio,https://www.newswire.ca/news-releases/air-canada-announces-nomination-of-kathleen-taylor-to-its-board-of-directors-575071701.html,,,
The 2016 Air Canada enRoute Fi,https://www.newswire.ca/news-releases/the-2016-air-canada-enroute-film-festival-seeks-soaring-talent-as-festival-marks-10th-anniversary---call-for-entries-574783661.html,,,
Travel Advisory - Air Canada R,https://www.newswire.ca/news-releases/travel-advisory---air-canada-resumes-full-brussels-flight-schedule-on-thursday-april-7th-574645221.html,,,
Air Canada Partners in Biojet ,https://www.newswire.ca/news-releases/air-canada-partners-in-biojet-supply-chain-initiative-to-introduce-sustainable-aviation-biofuel-to-a-canadian-airport-574592251.html,,,
Air Canada Cargo Receives Top ,https://www.newswire.ca/news-releases/air-canada-cargo-receives-top-industry-award-574104911.html,,,
Air Canada Executive Vice Pres,https://www.newswire.ca/news-releases/air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-desjardins-capital-markets-industrial--transportation-conference-573965481.html,,,
Air Canada Comments on Bill to,https://www.newswire.ca/news-releases/air-canada-comments-on-bill-to-amend-the-air-canada-public-participation-act-573398931.html,,,
UATP Announces the Official La,https://www.newswire.ca/news-releases/uatp-announces-the-official-launch-of-the-air-canada-program-573283491.html,,,
Air Canada to Offer In-flight ,https://www.newswire.ca/news-releases/air-canada-to-offer-in-flight-wi-fi-aboard-international-flights-572908581.html,,,
Air Canada completes purchase ,https://www.newswire.ca/news-releases/air-canada-completes-purchase-of-original-allotment-of-10-million-shares-under-normal-course-issuer-bid---board-of-directors-approves-up-to-5-million-additional-shares-to-be-repurchased-for-cancellation-by-may-27-572320741.html,,,
Air Canada Partners with Manit,https://www.newswire.ca/news-releases/air-canada-partners-with-manitoba-government-to-help-establish-centre-of-excellence-for-maintenance-in-province-572019151.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-president-and-chief-executive-officer-calin-rovinescu-to-present-at-the-jp-morgan-aviation-transportation--industrials-conference-571396281.html,,,
Media Advisory - Air Canada Pr,https://www.newswire.ca/news-releases/media-advisory---air-canada-president-and-chief-executive-officer-calin-rovinescu-to-present-at-the-jp-morgan-aviation-transportation--industrials-conference-570789271.html,,,
Air Canada Increases Capacity ,https://www.newswire.ca/news-releases/air-canada-increases-capacity-between-happy-valley-goose-bay-and-halifax-and-happy-valley-goose-bay-and-st-johns-by-48-for-summer-2016-570470421.html,,,
Air Canada Named one of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-best-diversity-employers-569951311.html,,,
Air Canada C Series Airframe H,https://www.newswire.ca/news-releases/air-canada-c-series-airframe-heavy-maintenance-to-be-performed-in-quebec-569107481.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-present-fourth-quarter-and-full-year-2015-results-569090631.html,,,
Air Canada to Purchase Bombard,https://www.newswire.ca/news-releases/air-canada-to-purchase-bombardier-c-series-as-part-of-its-fleet-renewal-program-569082211.html,,,
Air Canada Reports Record Full,https://www.newswire.ca/news-releases/air-canada-reports-record-full-year-2015-results-569082121.html,,,
Air Canada rouge Celebrates St,https://www.newswire.ca/news-releases/air-canada-rouge-celebrates-start-of-seasonal-vancouver-cancun-flights-today-568864551.html,,,
Air Canada Confirms Ratificati,https://www.newswire.ca/news-releases/air-canada-confirms-ratification-of-new-12-year-agreement-with-flight-dispatchers-568590111.html,,,
Air Canada Named One of Montre,https://www.newswire.ca/news-releases/air-canada-named-one-of-montreals-top-employers-for-the-third-consecutive-year-567678821.html,,,
Air Canada Reports Record Janu,https://www.newswire.ca/news-releases/air-canada-reports-record-january-traffic-567574871.html,,,
Air Canada launches the only t,https://www.newswire.ca/news-releases/air-canada-launches-the-only-twice-daily-non-stop-flights-between-hamilton-ontario-and-montreal-567509231.html,,,
Air Canada and CALDA Reach New,https://www.newswire.ca/news-releases/air-canada-and-calda-reach-new-agreement-for-flight-dispatchers-on-contract-terms-for-12-years-567194521.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-fourth-quarter-and-full-year-2015-results-566575421.html,,,
Air Canada Welcomes New Agreem,https://www.newswire.ca/news-releases/air-canada-welcomes-new-agreement-with-its-technical-maintenance-airport-ramp-and-cargo-personnel-566271771.html,,,
Air Canada Offers New Business,https://www.newswire.ca/news-releases/air-canada-offers-new-business-class-check-in-within-a-lounge-setting-at-toronto-pearson-566042111.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-altacorp-capital--atb-corporate-financial-services-institutional-investor-conference-564651581.html,,,
Air Canada Reports December an,https://www.newswire.ca/news-releases/air-canada-reports-december-and-full-year-load-factor-564495821.html,,,
Air Canada to Airlift Almost 1,https://www.newswire.ca/news-releases/air-canada-to-airlift-almost-1500-syrian-refugees-to-canada-564486451.html,,,
Air Canada provides statement ,https://www.newswire.ca/news-releases/air-canada-provides-statement-on-flight-ac088-563888321.html,,,
Air Canada provides update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-flight-ac088-563880851.html,,,
Air Canada confirms incident,https://www.newswire.ca/news-releases/air-canada-confirms-incident-563870271.html,,,
Air Canada Boosts Brisbane Non,https://www.newswire.ca/news-releases/air-canada-boosts-brisbane-non-stop-flights-to-daily-563076781.html,,,
/R E P E A T -- Air Canada and,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-and-iamaw-reach-new-10-year-agreement-subject-to-ratification-on-contract-terms-563022451.html,,,
Air Canada and IAMAW Reach New,https://www.newswire.ca/news-releases/air-canada-and-iamaw-reach-new-10-year-agreement-subject-to-ratification-on-contract-terms-563008571.html,,,
Air Canada Offers Winter Trave,https://www.newswire.ca/news-releases/air-canada-offers-winter-travel-tips-562914621.html,,,
/R E P E A T -- The Air Canada,https://www.newswire.ca/news-releases/r-e-p-e-a-t----the-air-canada-foundation-and-the-pk-subban-foundation-team-up-to-spread-joy-this-holiday-season-to-sick-children-562604471.html,,,
The Air Canada Foundation and ,https://www.newswire.ca/news-releases/the-air-canada-foundation-and-the-pk-subban-foundation-team-up-to-spread-joy-this-holiday-season-to-sick-children-562513901.html,,,
Air Canada Names Craig Landry ,https://www.newswire.ca/news-releases/air-canada-names-craig-landry-president-of-the-air-canada-leisure-group-562492111.html,,,
Air Canada Announces Closing o,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-us537092000-private-offering-of-enhanced-equipment-trust-certificates-561812221.html,,,
Mark de Jonge Voted Air Canada,https://www.newswire.ca/news-releases/mark-de-jonge-voted-air-canada-athlete-of-the-year-561545431.html,,,
Air Canada Reports Record Nove,https://www.newswire.ca/news-releases/air-canada-reports-record-november-load-factor-560490831.html,,,
Air Canada announces first Air,https://www.newswire.ca/news-releases/air-canada-announces-first-air-canada-rouge-service-between-toronto-and-charlottetown-during-summer-travel-season-560403951.html,,,
Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-private-offering-of-enhanced-equipment-trust-certificates-559683631.html,,,
Air Canada Launches Private Of,https://www.newswire.ca/news-releases/air-canada-launches-private-offering-of-enhanced-equipment-trust-certificates-559493211.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-credit-suisse-3rd-annual-global-industrials-conference-554743091.html,,,
Air Canada Adds Seasonal Vanco,https://www.newswire.ca/news-releases/air-canada-adds-seasonal-vancouver-dublin-flights-for-summer-2016-553683471.html,,,
Air Canada Invites Canadians t,https://www.newswire.ca/news-releases/air-canada-invites-canadians-to-select-the-winner-of-the-air-canada-athlete-of-the-year-award-2015-553583281.html,,,
Air Canada Unveils Expansion f,https://www.newswire.ca/news-releases/air-canada-unveils-expansion-from-montreal-to-three-us-destinations-551715161.html,,,
Air Canada Unveils Major Expan,https://www.newswire.ca/news-releases/air-canada-unveils-major-expansion-to-12-us-destinations-551714151.html,,,
Media Advisory - Air Canada In,https://www.newswire.ca/news-releases/media-advisory---air-canada-invites-media-to-an-event-with-toronto-mayor-john-tory-and-an-opportunity-to-tour-its-newest-787-9-dreamliner-551523211.html,,,
Air Canada Welcomes Landmark A,https://www.newswire.ca/news-releases/air-canada-welcomes-landmark-agreement-with-its-flight-attendants-551205531.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canadas-top-100-employers-for-third-consecutive-year-544984642.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory---air-canada-senior-vice-president-financial-planning-and-analysis-amos-kazzaz-to-present-at-the-scotiabank-transportation--aerospace-conference-2015-543754562.html,,,
Air Canada Reports Third Quart,https://www.newswire.ca/news-releases/air-canada-reports-third-quarter-2015-results-540720311.html,,,
Air Canada Reports October Tra,https://www.newswire.ca/news-releases/air-canada-reports-october-traffic-results-540464921.html,,,
Air Canada Welcomes Appointmen,https://www.newswire.ca/news-releases/air-canada-welcomes-appointment-of-marc-garneau-as-minister-of-transport-540462851.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-present-third-quarter-2015-results-540052011.html,,,
/R E P E A T -- Air Canada Ina,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-inaugurates-non-stop-787-dreamliner-service-to-dubai-540047281.html,,,
Air Canada Inaugurates Non-Sto,https://www.newswire.ca/news-releases/air-canada-inaugurates-non-stop-787-dreamliner-service-to-dubai-540020351.html,,,
/R E P E A T -- Air Canada Ina,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-inaugurates-787-dreamliner-service-to-delhi-539278341.html,,,
Air Canada Inaugurates 787 Dre,https://www.newswire.ca/news-releases/air-canada-inaugurates-787-dreamliner-service-to-delhi-539183171.html,,,
Air Canada Doubles Vancouver-L,https://www.newswire.ca/news-releases/air-canada-doubles-vancouver-london-heathrow-flights-for-summer-2016-538721801.html,,,
Air Canada Adds Toronto-Seoul ,https://www.newswire.ca/news-releases/air-canada-adds-toronto-seoul-non-stop-flights-to-its-growing-international-network-538234641.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-third-quarter-2015-results-535915861.html,,,
The 9th edition of the Air Can,https://www.newswire.ca/news-releases/the-9th-edition-of-the-air-canada-enroute-film-festival---the-festival-presents-the-finalists-for-the-2015-edition-and-announces-a-free-public-showing-535034861.html,,,
/R E P E A T -- Air Canada and,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-and-cupe-reach-new-10-year-agreement-subject-to-ratification-on-contract-terms-for-flight-attendants-534963081.html,,,
Air Canada and CUPE Reach New ,https://www.newswire.ca/news-releases/air-canada-and-cupe-reach-new-10-year-agreement-subject-to-ratification-on-contract-terms-for-flight-attendants-534692581.html,,,
Air Canada Reports September T,https://www.newswire.ca/news-releases/air-canada-reports-september-traffic-results-530750631.html,,,
Air Canada is Official Airline,https://www.newswire.ca/news-releases/air-canada-is-official-airline-to-nine-canadian-symphony-orchestras-coast-to-coast-with-addition-of-symphony-nova-scotia-and-the-calgary-philharmonic-orchestra-529500111.html,,,
Air Canada and Amadeus partner,https://www.newswire.ca/news-releases/air-canada-and-amadeus-partner-to-distribute-the-airlines-full-content-and-advance-its-merchandising-vision-worldwide-529495771.html,,,
Air Canada and Amadeus partner,https://www.newswire.ca/news-releases/air-canada-and-amadeus-partner-to-distribute-the-airlines-full-content-and-advance-its-merchandising-vision-worldwide-529485881.html,,,
"As the Puck Drops, Canada's Pr",https://www.newswire.ca/news-releases/as-the-puck-drops-canadas-pro-teams-take-off-on-air-canada-jetz-528789811.html,,,
Air Canada Encourages Traveler,https://www.newswire.ca/news-releases/air-canada-encourages-travelers-to-form-a-toronto-connection-528709351.html,,,
Air Canada Named Canada's Pref,https://www.newswire.ca/news-releases/air-canada-named-canadas-preferred-airline-by-frequent-business-travellers-in-ipsos-reid-survey-528476001.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-cibc-14th-annual-eastern-institutional-investor-conference-526473751.html,,,
"Air Canada Buys Back 3,185,735",https://www.newswire.ca/news-releases/air-canada-buys-back-3185735-shares-at-a-total-cost-of-367-million-526257821.html,,,
Air Canada to Launch New Servi,https://www.newswire.ca/news-releases/air-canada-to-launch-new-service-from-montreal-to-casablanca-525952471.html,,,
Air Canada Adds Africa and Fou,https://www.newswire.ca/news-releases/air-canada-adds-africa-and-four-new-european-cities-to-its-growing-international-network-for-summer-2016-525951391.html,,,
/R E P E A T -- Air Canada Par,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-partners-with-celebrated-canadian-chef-david-hawksworth-taking-canadian-dining-to-new-heights-524347971.html,,,
Air Canada Partners With Celeb,https://www.newswire.ca/news-releases/air-canada-partners-with-celebrated-canadian-chef-david-hawksworth-taking-canadian-dining-to-new-heights-524222021.html,,,
Air Canada Reports August Traf,https://www.newswire.ca/news-releases/air-canada-reports-august-traffic-results-524184501.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-to-unveil-enhancements-for-international-business-travel-524060791.html,,,
Air Canada Executive Vice Pres,https://www.newswire.ca/news-releases/air-canada-executive-vice-president--chief-financial-officer-michael-rousseau-to-present-at-the-cowen-and-company-8th-annual-global-transportation-conference-in-boston-523637451.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-unveil-enhancements-for-international-business-travel-523583671.html,,,
Air Canada Issues 2014 Corpora,https://www.newswire.ca/news-releases/air-canada-issues-2014-corporate-sustainability-report-523491681.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---air-canada-president-passenger-airlines-benjamin-smith-to-present-at-the-20th-annual-boyd-group-international-aviation-forecast-summit-523407841.html,,,
Media Advisory - Air Canada Pr,https://www.newswire.ca/news-releases/media-advisory---air-canada-president-passenger-airlines-benjamin-smith-to-present-at-the-20th-annual-boyd-group-international-aviation-forecast-summit-523253331.html,,,
Air Canada Reports Record Seco,https://www.newswire.ca/news-releases/air-canada-reports-record-second-quarter-2015-results-521528401.html,,,
Air Canada Reports Record July,https://www.newswire.ca/news-releases/air-canada-reports-record-july-traffic-results-520882751.html,,,
Air Canada Serving Record Numb,https://www.newswire.ca/news-releases/air-canada-serving-record-numbers-of-customers-520309181.html,,,
Air Canada Welcomes First Boei,https://www.newswire.ca/news-releases/air-canada-welcomes-first-boeing-787-9-dreamliner-to-its-fleet-520638352.html,,,
Air Canada to Present Second Q,https://www.newswire.ca/news-releases/air-canada-to-present-second-quarter-2015-results-518126291.html,,,
Air Canada to Boost Delhi Non-,https://www.newswire.ca/news-releases/air-canada-to-boost-delhi-non-stop-flights-to-daily-service-516260931.html,,,
Air Canada Foundation Golf Tou,https://www.newswire.ca/news-releases/air-canada-foundation-golf-tournament-nets-over-1000000-in-support-of-childrens-charities-across-canada-518064551.html,,,
Air Canada Reports June Traffi,https://www.newswire.ca/news-releases/air-canada-reports-june-traffic-results-518021951.html,,,
Air Canada Operational Update,https://www.newswire.ca/news-releases/air-canada-operational-update-518037551.html,,,
Illegal Labour Disruption at C,https://www.newswire.ca/news-releases/illegal-labour-disruption-at-consolidated-aviation-fueling-of-toronto-affecting-all-airlines-operating-at-pearson-international-airport-advice-for-air-canada-customers-518013191.html,,,
Happy Birthday to Canada and A,https://www.newswire.ca/news-releases/happy-birthday-to-canada-and-air-canada-rouge-518035701.html,,,
Air Canada rouge launches the ,https://www.newswire.ca/news-releases/air-canada-rouge-launches-the-only-non-stop-daily-flights-between-toronto-and-abbotsford-518032301.html,,,
Air Canada Welcomes Agreement ,https://www.newswire.ca/news-releases/air-canada-welcomes-agreement-with-its-customer-service-and-sales-agents-517985191.html,,,
"Air Canada Adds Lyon, London-G",https://www.newswire.ca/news-releases/air-canada-adds-lyon-london-gatwick-to-its-growing-global-network-517980231.html,,,
Air Canada and Unifor Reach Te,https://www.newswire.ca/news-releases/air-canada-and-unifor-reach-tentative-agreement-on-new-contract-517936311.html,,,
Air Canada Inaugurates Non-Sto,https://www.newswire.ca/news-releases/air-canada-inaugurates-non-stop-services-to-amsterdam-and-mexico-city-to-further-drive-international-expansion-strategy-517864091.html,,,
Air Canada Reports May Traffic,https://www.newswire.ca/news-releases/air-canada-reports-may-traffic-results-517849471.html,,,
Air Canada Establishes New Fin,https://www.newswire.ca/news-releases/air-canada-establishes-new-financial-targets-517832331.html,,,
Media Advisory - Air Canada Vi,https://www.newswire.ca/news-releases/media-advisory---air-canada-vice-president-financial-planning-and-analysis-amos-kazzaz-to-present-at-the-national-bank-financial-5th-annual-quebec-conference-in-toronto-517827181.html,,,
Air Canada Launches Calgary-Te,https://www.newswire.ca/news-releases/air-canada-launches-calgary-terrace-service-today-517825901.html,,,
Air China to Launch Beijing-Mo,https://www.newswire.ca/news-releases/air-china-to-launch-beijing-montreal-flights-in-cooperation-with-air-canada-517756861.html,,,
Air Canada Opts Out of Air Can,https://www.newswire.ca/news-releases/air-canada-opts-out-of-air-canada-pension-plan-funding-regulations-2014-517751591.html,,,
Air Canada Invests in Improved,https://www.newswire.ca/news-releases/air-canada-invests-in-improved-premium-product-on-air-canada-rouge-517749451.html,,,
Air Canada Launches Seasonal S,https://www.newswire.ca/news-releases/air-canada-launches-seasonal-service-to-atlantic-city-today-517740131.html,,,
/R E P E A T -- Air Canada to ,https://www.newswire.ca/news-releases/r-e-p-e-a-t----air-canada-to-host-2015-investor-day-on-june-2-in-toronto-517726561.html,,,
Air Canada Adds Austin TX to G,https://www.newswire.ca/news-releases/air-canada-adds-austin-tx-to-global-network-today-517725101.html,,,
Air Canada rouge launches seas,https://www.newswire.ca/news-releases/air-canada-rouge-launches-seasonal-non-stop-service-between-montreal-and-venice-517721561.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president--chief-financial-officer-michael-rousseau-to-present-at-the-bank-of-america-merrill-lynch-2015-transportation-conference-517714491.html,,,
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-517714251.html,,,
Air Canada Reports Record Firs,https://www.newswire.ca/news-releases/air-canada-reports-record-first-quarter-2015-results-517696461.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-first-quarter-2015-results-517679821.html,,,
Air Canada Reports April Traff,https://www.newswire.ca/news-releases/air-canada-reports-april-traffic-results-517678641.html,,,
Air Canada Expands Internation,https://www.newswire.ca/news-releases/air-canada-expands-international-and-domestic-networks-today-launching-vancouver-osaka-vancouver-comox-calgary-nanaimo-and-calgary-halifax-services-517672781.html,,,
Air Canada First Foreign Airli,https://www.newswire.ca/news-releases/air-canada-first-foreign-airline-to-offer-customers-the-ease-and-convenience-of-tsa-pre-program-at-us-airports-517505621.html,,,
Air Canada to Host 2015 Invest,https://www.newswire.ca/news-releases/air-canada-to-host-2015-investor-day-on-june-2-in-toronto-517504911.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-first-quarter-2015-results-517491671.html,,,
Air Canada Confirms Ratificati,https://www.newswire.ca/news-releases/air-canada-confirms-ratification-of-new-contract-with-international-brotherhood-of-teamsters-517443241.html,,,
Air Canada Reports March Load ,https://www.newswire.ca/news-releases/air-canada-reports-march-load-factor-on-record-volume-of-passengers-517424491.html,,,
Air Canada Responds to Develop,https://www.newswire.ca/news-releases/air-canada-responds-to-developments-at-the-toronto-port-authority-no-support-for-jets-at-billy-bishop-517422071.html,,,
Air Canada Provides Update #3 ,https://www.newswire.ca/news-releases/air-canada-provides-update-3-on-ac624-517407201.html,,,
Air Canada Provides Update #2 ,https://www.newswire.ca/news-releases/air-canada-provides-update-2-on-ac624-517407111.html,,,
Air Canada provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-ac624-517407051.html,,,
Air Canada Digital Strategy Le,https://www.newswire.ca/news-releases/air-canada-digital-strategy-leaps-ahead-with-apple-watch-app-517404861.html,,,
Air Canada Announces Closing o,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-over-us1-billion-private-offering-of-enhanced-equipment-trust-certificates-517396871.html,,,
Air Canada Partners With The N,https://www.newswire.ca/news-releases/air-canada-partners-with-the-next-billion-women--the-economy-of-the-future-conference-517366821.html,,,
Air Canada to Carry Canada's T,https://www.newswire.ca/news-releases/air-canada-to-carry-canadas-top-professional-hockey-teams-517390271.html,,,
Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-private-offering-of-enhanced-equipment-trust-certificates-517349951.html,,,
Air Canada and GOL Sign Codesh,https://www.newswire.ca/news-releases/air-canada-and-gol-sign-codeshare-agreement-517386001.html,,,
Air Canada Announces Private O,https://www.newswire.ca/news-releases/air-canada-announces-private-offering-of-enhanced-equipment-trust-certificates-517348161.html,,,
Air Canada Reports Record Febr,https://www.newswire.ca/news-releases/air-canada-reports-record-february-load-factor-with-record-traffic-results-517333981.html,,,
Air Canada to Launch Service t,https://www.newswire.ca/news-releases/air-canada-to-launch-service-to-atlantic-city-from-toronto-hub-517376301.html,,,
Air Canada Named Top Airline i,https://www.newswire.ca/news-releases/air-canada-named-top-airline-in-customer-loyalty-516830371.html,,,
Air Canada Reports Record Full,https://www.newswire.ca/news-releases/air-canada-reports-record-full-year-2014-results-516872591.html,,,
Air Canada rouge to Launch New,https://www.newswire.ca/news-releases/air-canada-rouge-to-launch-new-service-with-competitive-fares-from-hamilton-and-abbotsford-516854701.html,,,
Air Canada and UNITE Reach Ten,https://www.newswire.ca/news-releases/air-canada-and-unite-reach-tentative-agreement-on-new-contract-516853301.html,,,
Air Canada Reports Record Janu,https://www.newswire.ca/news-releases/air-canada-reports-record-january-load-factor-with-record-traffic-results-516846741.html,,,
Air Canada Customers Satisfied,https://www.newswire.ca/news-releases/air-canada-customers-satisfied-with-bilingual-service-delivery-516845511.html,,,
Air Canada and International B,https://www.newswire.ca/news-releases/air-canada-and-international-brotherhood-of-teamsters-reach-tentative-agreement-on-new-contract-516845651.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory---air-canada-to-present-fourth-quarter-and-full-year-2014-results-516842091.html,,,
Air Canada's Amended and Exten,https://www.newswire.ca/news-releases/air-canadas-amended-and-extended-capacity-purchase-agreement-with-chorus-aviation-inc-successfully-concluded-516835881.html,,,
Air Canada and Chorus Aviation,https://www.newswire.ca/news-releases/air-canada-and-chorus-aviation-inc-announce-a-conditional-amended-and-extended-capacity-purchase-agreement-516446581.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-altacorp-capital--atb-corporate-financial-services-institutional-investor-conference-516444271.html,,,
Air Canada Reports December an,https://www.newswire.ca/news-releases/air-canada-reports-december-and-full-year-load-factor-516273501.html,,,
Air Canada Inaugurates Seasona,https://www.newswire.ca/news-releases/air-canada-inaugurates-seasonal-flights-between-toronto-and-mont-tremblant-quebec-516808721.html,,,
Air Canada Launches Year-Round,https://www.newswire.ca/news-releases/air-canada-launches-year-round-service-to-rio-de-janeiro-516764881.html,,,
Alexandre Bilodeau Voted Air C,https://www.newswire.ca/news-releases/alexandre-bilodeau-voted-air-canada-athlete-of-the-year-516764351.html,,,
Air Canada Offers Winter Trave,https://www.newswire.ca/news-releases/air-canada-offers-winter-travel-tips-516748771.html,,,
Air Canada Makes Strategic Enh,https://www.newswire.ca/news-releases/air-canada-makes-strategic-enhancements-to-its-north-american-network-starting-spring-2015-new-services-to-terrace-nanaimo-comox-halifax-austin-and-mexico-city-516653801.html,,,
Air Canada to Launch Non-stop ,https://www.newswire.ca/news-releases/air-canada-to-launch-non-stop-service-to-dubai-516641081.html,,,
Air Canada Inaugurates Boeing ,https://www.newswire.ca/news-releases/air-canada-inaugurates-boeing-777-to-its-daily-flight-from-toronto-pearson-international-airport-to-bridgetown-grantley-adams-international-airport-barbados-on-december-1-2014-516634021.html,,,
Air Canada Inaugurates Boeing ,https://www.newswire.ca/news-releases/air-canada-inaugurates-boeing-777-to-its-daily-flight-from-toronto-pearson-international-airport-to-bridgetown-grantley-adams-international-airport-barbados-on-december-1-2014-516633991.html,,,
Air Canada Inaugurates Boeing ,https://www.newswire.ca/news-releases/air-canada-inaugurates-boeing-777-to-its-daily-flight-from-toronto-pearson-international-airport-to-bridgetown-grantley-adams-international-airport-barbados-on-december-1-2014-516633391.html,,,
Air Canada Wins Multiple Trave,https://www.newswire.ca/news-releases/air-canada-wins-multiple-travel-awards-affirming-its-leadership-position-among-north-american-carriers-516628131.html,,,
Air Canada Reports November Lo,https://www.newswire.ca/news-releases/air-canada-reports-november-load-factor-516615131.html,,,
Media Advisory - Air Canada Ex,https://www.newswire.ca/news-releases/media-advisory---air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-credit-suisse-2014-global-industrials-conference-516545721.html,,,
Air Canada Expands Introductio,https://www.newswire.ca/news-releases/air-canada-expands-introduction-of-boeing-787-dreamliners-to-more-asia-routes-from-vancouver-516454731.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/r-e-p-e-a-t----media-advisory---photo-and-video-opportunity-air-canadas-new-787-dreamliner-in-vancouver-516451081.html,,,
Air Canada Invites Canadians t,https://www.newswire.ca/news-releases/air-canada-invites-canadians-to-select-the-winner-of-the-air-canada-athlete-of-the-year-award-2014-516440521.html,,,
Media Advisory - Photo and Vid,https://www.newswire.ca/news-releases/media-advisory---photo-and-video-opportunity-air-canadas-new-787-dreamliner-in-vancouver-516434681.html,,,
Air Canada Executive Vice Pres,https://www.newswire.ca/news-releases/air-canada-executive-vice-president-and-chief-financial-officer-michael-rousseau-to-present-at-the-scotiabank-transportation-and-aerospace-conference-2014-516362741.html,,,
